,Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name,Venue_Rating
0,Clinton,3fd66200f964a5200ae91ee3,Frames Bowling Lounge,340,550 9th Ave,40.75718734842475,-73.9929652419508,4bf58dd8d48988d1e4931735,Bowling Alley,6.8
1,Murray Hill,42869100f964a52018231fe3,5th ave. arcade inc.,348,260 5th Ave,40.74660214961864,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade,Not Rated
2,Coney Island,49ebfb9df964a5204d671fe3,Eldorado Bumper Cars & Arcade,725,1216 Surf Ave,40.5752214689074,-73.98018786277851,4bf58dd8d48988d1e1931735,Arcade,8.3
3,Midtown South,4a326ac3f964a520499a1fe3,Kaufman Arcade,300,139 W 35th Street,40.751193348681895,-73.98908288943251,4bf58dd8d48988d130941735,Building,Not Rated
4,Upper East Side,4b996827f964a520377935e3,Central Park - The Arcade,902,Central Park,40.77385953238675,-73.97095245470804,4bf58dd8d48988d164941735,Plaza,8.8
5,Ocean Hill,4bf9ff045ec320a12d298bd3,Arcade Restaurant,362,No Address,40.68148400000001,-73.911668,4bf58dd8d48988d130941735,Building,Not Rated
6,Coney Island,4c2e9b5b09a99c746c9c0a2a,Deno's Arcade,818,1025 Boardwalk W,40.57388221768576,-73.9790153503418,4bf58dd8d48988d1e1931735,Arcade,Not Rated
7,Prospect Heights,4c4a1cb69c8d2d7fb1be1069,At the arcade,369,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade,Not Rated
8,Central Harlem,4c649a46e0c4be9aca168658,Harlem Arcade,160,No Address,40.81629020872888,-73.94135070405183,4bf58dd8d48988d1e1931735,Arcade,Not Rated
9,Little Italy,4cbf45eb28d176b0b0ef226e,Moto Arcade,262,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife,Not Rated
10,Little Italy,4cc0d53922ce4688bbe33947,MotoArcade!,255,No Address,40.721567,-73.996672,4bf58dd8d48988d1e1931735,Arcade,Not Rated
11,Ridgewood,4cca09529b934688142d4c41,Arcade Bookbinding Corp.,1370,801 Wyckoff Avenue,40.69720247162584,-73.90839396773141,4bf58dd8d48988d130941735,Building,Not Rated
12,Elmhurst,4d0c6d185c46a093ec8708b4,Flynn's Arcade,1241,No Address,40.73290252072499,-73.88213696433121,4bf58dd8d48988d18d941735,Gaming Cafe,Not Rated
13,Port Richmond,4d1a2452302da1cda77bcf93,Educole bowling and arcade,331,111 simonson pl,40.63077438628474,-74.13034725783997,4bf58dd8d48988d1ca941735,Pizza Place,Not Rated
14,Coney Island,4d5bea841da1cbff3a811a05,Mermaid Parade Ride,878,1000 Surf Ave,40.57357050702873,-73.97833675146103,5109983191d435c0d71c2bb1,Theme Park Ride / Attraction,6.7
15,Washington Heights,4d70445dcbc58cfad8686f72,Washington Heights Arcade and Bingo,423,1422 Saint Nicholas Ave,40.849365234375,-73.93315124511719,4bf58dd8d48988d1f1931735,General Entertainment,Not Rated
16,Midtown South,4dc2a46b7d8b686fa4810d99,Greeley Arcade Building,145,132 W 31st St,40.74747542879389,-73.98977082005317,4bf58dd8d48988d124941735,Office,Not Rated
17,Midtown South,4ddc962e1f6e54b34d8e1b1e,Sahil's Arcade Of Good Times,328,No Address,40.74925091303696,-73.99248663896475,4bf58dd8d48988d1e7941735,Playground,Not Rated
18,Sutton Place,4de507e4ae60e7f3ac2c06ae,Arcade Creative Group (A Sony Music Company),857,550 Madison Ave,40.76137985690868,-73.97361633212931,4bf58dd8d48988d124941735,Office,Not Rated
19,Midtown South,4dff6831091ab6fff999ee39,Arcade Classics,448,244 5th Ave Ste B294,40.74463152634834,-73.98728728294374,4bf58dd8d48988d122951735,Electronics Store,Not Rated
20,Flatiron,4e11e25e81dcc5457256919a,Graha Arcade,301,53 W 23rd St,40.742379908504255,-73.99085998535155,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
21,Manhattan Valley,4e3dae008877b00cfc4b0ceb,Arcade,556,No Address,40.792654632690976,-73.9667116787352,4bf58dd8d48988d1e1931735,Arcade,Not Rated
22,Ocean Hill,4e5ef27a22718258c4961ae0,Arcade Community,264,81 Rockaway Ave,40.680156,-73.910947,4bf58dd8d48988d130941735,Building,Not Rated
23,Brownsville,4f32cc9b19836c91c7fbf408,Young's Video Arcade Games and Internet Service,553,68 Belmont Ave,40.668578,-73.907824,4bf58dd8d48988d17f941735,Movie Theater,Not Rated
24,Sunset Park,4fc11a6fe4b0730dec0ef93e,I Fix Machine Arcade,1451,132 32nd St ste 114,40.65700149536133,-74.0032958984375,4bf58dd8d48988d1e1931735,Arcade,Not Rated
25,Coney Island,4fe49ec5e5e8d370efe5e8cd,Luna Arcade,841,1000 Surf Ave,40.57461972339255,-73.97873640060425,4bf58dd8d48988d1e1931735,Arcade,7.5
26,Chinatown,5053d510e4b0719d67706d96,Chinatown Fair Video Arcade,417,8 Mott St,40.71396702977464,-73.9987164479224,4bf58dd8d48988d1e1931735,Arcade,7.5
27,Travis,506205b1e4b02b8da3f9a55f,Showplace Arcade,883,141 West Shore Expressway,40.58728063296218,-74.20110556826522,4bf58dd8d48988d1e1931735,Arcade,Not Rated
28,Midwood,511ae724e4b0dd11cbae7258,Daniel Arcade,661,No Address,40.62468719482422,-73.96533203125,4bf58dd8d48988d1e1931735,Arcade,Not Rated
29,Ocean Hill,51996cf8498eae1965b45236,Arcade Lounge,1215,No Address,40.68922222919599,-73.91117276592865,4bf58dd8d48988d121941735,Lounge,Not Rated
30,Midtown South,54109be5498e36dd35fd2e90,arcade edit,263,130 W 29th St,40.74717594462352,-73.99129295186754,4bf58dd8d48988d124941735,Office,Not Rated
31,Bath Beach,54d793c2498eae7f4aae9aa8,Arcade Roofing & Home Improvement,258,No Address,40.601294849702185,-73.99678230285643,4bf58dd8d48988d130941735,Building,Not Rated
32,Flatiron,5553d902498eee430b990c01,Arcade Edit NY,500,220 5th Ave Fl 12,40.743638415449865,-73.98813912063065,4bf58dd8d48988d124941735,Office,Not Rated
33,Downtown,55d8afc3498e2156fb75de6f,EOS Arcade,445,66 Rockwell Pl Fl 4,40.688179999999996,-73.979518,4bf58dd8d48988d1e1931735,Arcade,Not Rated
34,Washington Heights,5ac83d3b0f013c3cc9135100,Arcade Pizza,720,1611 Saint Nicholas Ave,40.855221,-73.929559,4bf58dd8d48988d1ca941735,Pizza Place,Not Rated
35,Financial District,5c0b2bec89b06a002ccbbb7f,2 Water Street - Arcade,510,2 Water St,40.702796936035156,-74.01274871826172,4bf58dd8d48988d1e1931735,Arcade,Not Rated
36,Midtown South,5c9598aca795bd002cc9b843,New York Arcade Rentals,378,121 W 36th St,40.751863,-73.987957,5454152e498ef71e2b9132c6,Event Service,Not Rated
37,Hollis,5d4820e85bc77800088487ea,Games & Arcades,910,207-14 Hollis Ave,40.707478,-73.74967,4bf58dd8d48988d1e1931735,Arcade,Not Rated
38,Sunset Park,60ce1f287f4109105ca92fac,Brooklyn Games & Arcade,977,6120,40.639884,-74.019625,4bf58dd8d48988d10b951735,Video Game Store,Not Rated
