Within larger district,Neighborhood name,area_longitude,area_latitude,hood_longitude,hood_latitude
Seattle,North Seattle,-122.3398649,47.6020234,-122.29145496064257,47.590054550000005
North Seattle,Broadview,-122.29145496064257,47.590054550000005,-122.3604067,47.7223199
North Seattle,Bitter Lake,-122.29145496064257,47.590054550000005,-122.3487639,47.7262358
North Seattle,North Beach ,-122.29145496064257,47.590054550000005,-122.392362,47.6962103
North Seattle,Crown Hill,-122.29145496064257,47.590054550000005,-122.3714586,47.6947154
North Seattle,Greenwood,-122.29145496064257,47.590054550000005,-122.3548773,47.6909806
North Seattle,Northgate,-122.29145496064257,47.590054550000005,-122.3212307,47.7131534
Northgate,Haller Lake,-122.3212307,47.7131534,-122.33375132229858,47.7197478
Northgate,Pinehurst,-122.3212307,47.7131534,-122.31554228404718,47.712876550000004
Northgate,North College Park,-122.3212307,47.7131534,No Data Found,No Data Found
Northgate,Maple Leaf,-122.3212307,47.7131534,-122.322905,47.6939869
North Seattle,Lake City,-122.29145496064257,47.590054550000005,-122.2954939,47.7191619
Lake City,Cedar Park,-122.2954939,47.7191619,-122.2859597,47.7256535
Lake City,Matthews Beach,-122.2954939,47.7191619,-122.27272363041745,47.69692655
Lake City,Meadowbrook,-122.2954939,47.7191619,-122.28783896052913,47.70586305
Lake City,Olympic Hills,-122.2954939,47.7191619,-122.2991,47.7299
Lake City,Victory Heights,-122.2954939,47.7191619,-122.3076269,47.707598
North Seattle,Wedgwood,-122.29145496064257,47.590054550000005,-122.2905745,47.690221
North Seattle,View Ridge,-122.29145496064257,47.590054550000005,-122.2740144,47.6795427
North Seattle,Sand Point,-122.29145496064257,47.590054550000005,-122.2643122,47.6823594
North Seattle,Roosevelt,-122.29145496064257,47.590054550000005,-122.31380709605568,47.6773046
North Seattle,Ravenna,-122.29145496064257,47.590054550000005,-122.2976262,47.6756537
North Seattle,Bryant,-122.29145496064257,47.590054550000005,-122.28349345639771,47.6752333
North Seattle,Windermere,-122.29145496064257,47.590054550000005,-122.2617917,47.6709318
Windermere,Hawthorne Hills,-122.2617917,47.6709318,-122.2758411,47.6720669
North Seattle,Laurelhurst,-122.29145496064257,47.590054550000005,-122.2770698,47.6634317
North Seattle,University District ,-122.29145496064257,47.590054550000005,-122.3131523,47.6612984
Ravenna,University Village,-122.2976262,47.6756537,-122.29892295657088,47.6627401
North Seattle,Wallingford,-122.29145496064257,47.590054550000005,-122.3343417,47.6594631
Lake Union ,Northlake,-122.33555809202913,47.63991865,-122.32427647495692,47.654349350000004
North Seattle,Green Lake,-122.29145496064257,47.590054550000005,-122.33854871086325,47.67828405
North Seattle,Fremont,-122.29145496064257,47.590054550000005,-122.3499861,47.6504529
North Seattle,Phinney Ridge,-122.29145496064257,47.590054550000005,-122.3540306,47.6721306
North Seattle,Ballard,-122.29145496064257,47.590054550000005,-122.3862233,47.6765073
Ballard,West Woodland,-122.3862233,47.6765073,-122.35090920936102,47.6692585
Ballard,Whittier Heights,-122.3862233,47.6765073,-122.3714487,47.683297
Ballard,Adams,-122.3862233,47.6765073,-122.2974962,47.5647813
Ballard,Sunset Hill,-122.3862233,47.6765073,-122.3984484,47.6752172
Ballard,Loyal Heights,-122.3862233,47.6765073,-122.3929073,47.6887088
Seattle,Central Seattle,-122.3398649,47.6020234,-122.3032046119853,47.612693750000005
Central Seattle,Magnolia,-122.3032046119853,47.612693750000005,-122.399489,47.6468106
Magnolia,Lawton Park,-122.399489,47.6468106,-122.4002959,47.6563294
Magnolia,Briarcliff,-122.399489,47.6468106,-122.40761211983732,47.6481511
Magnolia,Southeast Magnolia,-122.399489,47.6468106,-122.399489,47.6468106
Central Seattle,Interbay,-122.3032046119853,47.612693750000005,-122.3763394,47.6407418
Central Seattle,Queen Anne,-122.3032046119853,47.612693750000005,-122.3607453,47.6394805
Queen Anne,North Queen Anne,-122.3607453,47.6394805,-122.3607453,47.6394805
Queen Anne,East Queen Anne,-122.3607453,47.6394805,-122.3473004,47.6490621
Queen Anne,Lower Queen Anne,-122.3607453,47.6394805,-122.3557559,47.622338
Queen Anne,West Queen Anne,-122.3607453,47.6394805,-122.3607453,47.6394805
Central Seattle,Capitol Hill,-122.3032046119853,47.612693750000005,-122.318368,47.6238307
Capitol Hill,Portage Bay,-122.318368,47.6238307,-122.3195001,47.6456952
Capitol Hill,Broadway,-122.318368,47.6238307,-122.3842885,47.6686658
Capitol Hill ,Pike,-122.318368,47.6238307,-122.31985141407222,47.6190017
Capitol Hill,Montlake,-122.318368,47.6238307,-122.3030441,47.6414082
Capitol Hill,Stevens,-122.318368,47.6238307,-122.31599627115384,47.6543494
Capitol Hill ,Interlaken,-122.318368,47.6238307,-122.31078142948363,47.63751375
Capitol Hill ,Madison Valley,-122.318368,47.6238307,-122.2956143,47.6199156
Capitol Hill ,Renton Hill,-122.318368,47.6238307,-122.2729454,47.5204459
Capitol Hill,Madison Park,-122.318368,47.6238307,-122.2801963,47.6359301
Madison Park,Broadmoor,-122.2801963,47.6359301,-122.2897114,47.6351699
North Seattle ,Lake Union,-122.29145496064257,47.590054550000005,-122.33555809202913,47.63991865
Lake Union,South Lake Union,-122.33555809202913,47.63991865,-122.3383816,47.6231611
South Lake Union,Cascade,-122.3383816,47.6231611,-122.33331770000001,47.6202407
Lake Union,Westlake,-122.33555809202913,47.63991865,-122.3361935,47.6117729
Lake Union,Eastlake,-122.33555809202913,47.63991865,-122.3257232,47.6408253
Central Seattle,Downtown,-122.3032046119853,47.612693750000005,-122.3280526,47.5981223
Downtown,Denny Triangle,-122.3280526,47.5981223,-122.334001,47.6185283
Downtown,Belltown,-122.3280526,47.5981223,-122.3453607,47.6132311
Downtown,Pike,-122.3280526,47.5981223,-122.31985141407222,47.6190017
Downtown,Central Business District,-122.3280526,47.5981223,-122.3362895,47.6095317
Downtown,First Hill,-122.3280526,47.5981223,-122.3249839,47.6093053
Downtown,Pioneer Square,-122.3280526,47.5981223,-122.33392745045508,47.60213935
Downtown,International District ,-122.3280526,47.5981223,-122.3279941,47.5983652
Downtown,Yesler Terrace,-122.3280526,47.5981223,-122.3191595,47.6012658
Downtown,Central Waterfront,-122.3280526,47.5981223,-122.34162826342163,47.6068536
Downtown,West Edge,-122.3280526,47.5981223,-122.337632,47.6063396
Central Seattle,Central Area,-122.3032046119853,47.612693750000005,-122.29401637297315,47.6573456
Central Area,Mann,-122.29401637297315,47.6573456,-122.33741928980399,47.60883185
Central Area,Minor,-122.29401637297315,47.6573456,-122.33226707462674,47.626594350000005
Minor,Cherry Hill ,-122.33226707462674,47.626594350000005,-122.31276287622083,47.589245
Central Area,Atlantic,-122.29401637297315,47.6573456,-122.32431270243413,47.5904927
Atlantic,Judkins Park,-122.32431270243413,47.5904927,-122.3027564158595,47.59030305
Central Area,Madrona,-122.29401637297315,47.6573456,-122.2912264,47.6127915
Madrona,Madrona Valley,-122.2912264,47.6127915,-122.2912264,47.6127915
Central Area,Harrison,-122.29401637297315,47.6573456,-122.3269395,47.6221233
Harrison,Washington Park,-122.3269395,47.6221233,-122.2874862,47.6275672
Central Area,Leschi,-122.29401637297315,47.6573456,-122.2918664,47.6005352
Seattle,South End,-122.3398649,47.6020234,-122.4089128,47.6689505
South End,Rainier Valley,-122.4089128,47.6689505,-122.2908894,47.552544
Rainier Valley,Mount Baker,-122.2908894,47.552544,-122.2895262,47.5785522
Rainier Valley,Columbia City,-122.2908894,47.552544,-122.2852162,47.5579124
Rainier Valley,Hillman City,-122.2908894,47.552544,-122.27491517454644,47.5524351
Rainier Valley,Brighton,-122.2908894,47.552544,-122.2756794,47.5462102
Rainier Valley,Dunlap ,-122.2908894,47.552544,-122.2695679,47.5314881
Rainier Valley,Rainier Beach ,-122.2908894,47.552544,-122.27939758194441,47.5224207
Rainier Valley,Rainier View ,-122.2908894,47.552544,-122.2908894,47.552544
South End,Seward Park,-122.4089128,47.6689505,-122.2657999,47.5512156
Seward Park,Lakewood,-122.2657999,47.5512156,-122.2717906,47.5631545
South End,Beacon Hill,-122.4089128,47.6689505,-122.3117942,47.579271
Beacon Hill,North Beacon Hill,-122.3117942,47.579271,-122.29145496064257,47.590054550000005
Beacon Hill,Mid Beacon Hill,-122.3117942,47.579271,No Data Found,No Data Found
Beacon Hill,Holly Park,-122.3117942,47.579271,-122.291929,47.5416501
Beacon Hill,South Beacon Hill,-122.3117942,47.579271,-122.2914546568554,47.58991385
South End,Industrial District,-122.4089128,47.6689505,No Data Found,No Data Found
Industrial District,SoDo,No Data Found,No Data Found,-122.3274051000403,47.581260150000006
Industrial District,Harbor Island,No Data Found,No Data Found,-122.35188154502197,47.5798609
South End,Georgetown,-122.4089128,47.6689505,-122.3300573,47.5489326
South End,South Park,-122.4089128,47.6689505,-122.3229131,47.5264675
Seattle,West Seattle,-122.3398649,47.6020234,-122.3865166,47.5709315
West Seattle,Alki Point,-122.3865166,47.5709315,-122.4207968,47.5762895
West Seattle,North Admiral,-122.3865166,47.5709315,-122.3865457,47.5811953
West Seattle,Junction,-122.3865166,47.5709315,-122.3872148,47.544872
West Seattle,Seaview,-122.3865166,47.5709315,-122.4052826,47.6712824
West Seattle,Fairmount Park,-122.3865166,47.5709315,-122.3822514061129,47.579851250000004
West Seattle,Genesee,-122.3865166,47.5709315,-122.3679048,47.5648206
West Seattle,Gatewood,-122.3865166,47.5709315,-122.385326,47.5365596
West Seattle,Fauntleroy,-122.3865166,47.5709315,-122.3934168,47.5223995
West Seattle,Arbor Heights,-122.3865166,47.5709315,-122.3813585,47.512899
West Seattle ,Delridge,-122.3865166,47.5709315,-122.3638741,47.5521233
Delridge,North Delridge,-122.3638741,47.5521233,-122.3638741,47.5521233
Delridge,Pigeon Point,-122.3638741,47.5521233,-122.3592519,47.5711631
Delridge,Riverview,-122.3638741,47.5521233,-122.34918871766783,47.539382700000004
Delridge,Highland Park,-122.3638741,47.5521233,-122.3526261,47.528432
Delridge,South Delridge,-122.3638741,47.5521233,-122.3638741,47.5521233
Delridge,Roxhill,-122.3638741,47.5521233,-122.3678127860065,47.519865550000006
Delridge,High Point,-122.3638741,47.5521233,-122.3773869,47.5384514
